[*]c1cc(F)c([*])cc1F
[*]c1cc2ccc3cc([*])cc4ccc(c1)c2c34
[*]c1ccc(-c2ccc([*])s2)s1
[*]c1ccc([*])cc1
[*]c1ccc2c(c1)[nH]c1cc([*])ccc12
[*]c1ccc([*])c2nsnc12
[*]c1ccc2c(c1)C(C)(C)c1cc([*])ccc1-2
[*]c1cc2cc3sc([*])cc3cc2s1
[*]c1ccc2c(c1)S(=O)(=O)c1cc([*])ccc1-2
