CC(C)C(CO[*])NC(=O)CCCNC(=O)[*]
CC(C)NC(=O)C(O[*])C(C)(C)OC(=O)[*]
CCN(CCCOC(=O)[*])CC(CC#N)O[*]
CC(C)CC(C)(O[*])C(=O)NCCOC(=O)[*]
CC(C)(C)C(CNC(=O)[*])NC(=O)CCN[*]
CC(CCOC(=O)[*])CNC(=O)C(C)(C)O[*]
C=CCC(CNC(=O)C(C)N[*])COC(=O)[*]
CC(CC(C)(C)OC(=O)[*])NC(=O)C(C)O[*]
CC(CCNC(=O)C(OC(=O)[*])C(C)C)O[*]
C=CC(C)(CC(=O)NCCCO[*])OC(=O)[*]
CC(CCCNC(=O)C(C)(C)O[*])OC(=O)[*]
CCN(C(=O)CC(CNC(=O)[*])O[*])C(C)C
C=CCCCNC(=O)CC(CNC(=O)[*])O[*]
CCC(C)(O[*])C(=O)OCCC(C)OC(=O)[*]
CC(C)N(C)C(=O)C(CCCNC(=O)[*])N[*]
CC(C)C(O[*])C(=O)N(C)CCCOC(=O)[*]
CCC(C)(C#CC(C)(CC)OC(=O)[*])O[*]
C=CCN(CC=C)CC(O[*])C(C)OC(=O)[*]
CCCC(CC(=O)OCC(C)OC(=O)[*])O[*]
CCON(CC)CC(OC(=O)[*])C(C)(C)O[*]
CC(CNC(=O)[*])N(C)C(=O)CC(C)(C)N[*]
CC(CCCOC(=O)[*])CNC(=O)C(C)O[*]
CC(C)(COC(=O)[*])NC(=O)CCCCO[*]
C=CCN(CC(CO[*])OC(=O)[*])C(C)(C)C
CCC(C)(C#CC(C)(CC)OC(=O)[*])O[*]
CC(C)(C)CC(CNC(=O)CO[*])OC(=O)[*]
CC(CCCOC(=O)[*])NC(=O)C(C)CN[*]
CCN(CCOC(=O)[*])C(=O)C(C)(CC)O[*]
CCC(NC(=O)COC(=O)[*])C(O[*])C(C)C
CC(C)(CCNC(=O)CCCNC(=O)[*])N[*]
CCC(C)N(CCN[*])CCOC(=O)[*]
CC(CCO[*])SC(C)C(C)OC(=O)[*]
CC(CO[*])CSCCC(C)OC(=O)[*]
C=CCCCC(CC(C)O[*])OC(=O)[*]
CC(C)(CNCCOCCO[*])OC(=O)[*]
CC(C)CCNC(CN[*])CNC(=O)[*]
C=CCN(CCCO[*])CCOC(=O)[*]
CC(C)C(CSCCCO[*])OC(=O)[*]
CCCN(CCO[*])CCC(C)OC(=O)[*]
O=C([*])OCCCCCCSCCCO[*]
C=C(C)CN(CCO[*])CCOC(=O)[*]
CCCC(COC(=O)[*])NCC(C)O[*]
C=CCCN(C)CC(COC(=O)[*])O[*]
O=C([*])OCCSCCCSCCO[*]
CCC(C)CN(CCN[*])CCOC(=O)[*]
C=COCCOCC(CNC(=O)[*])O[*]
CCCCC(CNCCCO[*])OC(=O)[*]
COCC(CNCCC(C)NC(=O)[*])O[*]
COCCN(CCCOC(=O)[*])CCO[*]
CC(NCCCCCO[*])C(C)OC(=O)[*]
CNCCCN(CCN[*])CCNC(=O)[*]
CNCCCN(CCN[*])CCNC(=O)[*]
COCCN(C)CC(O[*])C(C)OC(=O)[*]
C=CC(CNCC(CC)N[*])OC(=O)[*]
CC(CN(C)C(C)(C)COC(=O)[*])O[*]
O=C([*])NCCSCSCCN[*]
CCC(CNCC(OC(=O)[*])C(C)C)O[*]
CC(COC(=O)[*])CN(C)C(C)CO[*]
CC(CN(C)CCCCCOC(=O)[*])N[*]
CC(C)N(CCCO[*])CCNC(=O)[*]
CCC(C)(CO[*])COC(=O)[*]
C=CC(COC(=O)[*])O[*]
CC(CCN[*])CNC(=O)[*]
CC(Cl)(CO[*])COC(=O)[*]
CC(CCCOC(=O)[*])CN[*]
COC(CNC(=O)[*])CO[*]
CC(CC(C)(C)OC(=O)[*])O[*]
O=C([*])OCCOCCCN[*]
COCCC(COC(=O)[*])N[*]
CC(CCNC(=O)[*])O[*]
CC(CO[*])C(C)OC(=O)[*]
CC(C)(CCOC(=O)[*])N[*]
CCC(CC(C)O[*])OC(=O)[*]
CCCC(C)(COC(=O)[*])N[*]
CCC(CCCNC(=O)[*])O[*]
