*N([C@@H](C)C1CCCCC1)CC(=O)*
*N([C@H](C)C1CCCCC1)CC(=O)*
*N([C@@H](C)CC)CC(=O)*
*N([C@H](C)CC)CC(=O)*
*N([C@@H](C)c1ccccc1)CC(=O)*
*N([C@H](C)c1ccccc1)CC(=O)*
*N(Cc1ccccc1)CC(=O)*
*N(CCOC)CC(=O)*
*N(CCOc1ccccc1)CC(=O)*
*N(c2ccccc2)CC(=O)*
*N(c1cc(N(=O)=O)c(O)cc1)CC(=O)*
*N(c1c(O)cccc1)CC(=O)*
*Nc1ccccc1N(C(=O)C)CC(=O)*
*N(O)CC(=O)*
*N([C@@H](C)c1ccccc1)CCC(=O)*
*N(CCOc1ccccc1)CCC(=O)*
*N(c1c(C)cccc1)CC(=O)*
*N(c1c(I)cccc1)CC(=O)*
*N(c1c(C(C)(C)C)cccc1)CC(=O)*
*N([C@@H](C)c1cccc2ccccc21)CC(=O)*
*N(c1cccc2ccccc21)CC(=O)*
*N(CCC[N-][N+]#N)CC(=O)*
*N(CC#C)CC(=O)*
*N2CCC[C@@H]2C(=O)*
*N[C@@H](C)C(=O)*
*N(c1c(C)cccc1(C))CC(=O)*
*N(c1cc(C)cc(C)c1)CC(=O)*
*N(c1ccc(F)cc1)CC(=O)*
*N(C(C)(C)C)CC(=O)*
*N(CC#C)CCC(=O)*
*N([C@@H](C)c1cccc2ccccc21)CCC(=O)*
*N([C@H](C)c1cccc2ccccc21)CC(=O)*
*N(CC=C)CC(=O)*
*N([C@@H](C)C(C)(C)C)CC(=O)*
*N(C(C)C)CC(=O)*
*N(c1ccccc1)CCC(=O)*
*N(CC(=O)O)CC(=O)*
*N(CCN)CC(=O)*
*N(CCO)CC(=O)*
*N(CCC(=O)O)CC(=O)*
*N(c1c(C(=O)OC)cccc1)CC(=O)*
*N(C(C(C)C))CC(=O)*
*N(CCO(c2nc(ccc2)c3ncccc3))CC(=O)*
*N(CCc1ccccc1)CC(=O)*
*N(C)CC(=O)*
*N(CCC)CC(=O)*
*N(CCc1ccc(OC)cc1)CC(=O)*
*N(c1cc(OC)cc(OC)c1)CC(=O)*
*N([C@@H](C)c1ccc(OC)cc1)CC(=O)*
*N[C@H](C)C(=O)*
*N([C@@H](CCCC)c1cccc2ccccc21)CCC(=O)*
*N(c1ccc(C(C)C)cc1)CC(=O)*
*N(c1ccc(C)cc1)CC(=O)*
*N(c1ccc(OC)cc1)CC(=O)*
*N(Cc1ncccc1)CC(=O)*
*N(Cc1c2ccccc2ccc1)CC(=O)*
*N(CC1CCCCC1)CC(=O)*
*N(CCCCC)CC(=O)*
*N(CCCCCC)CC(=O)*
*NCC(=O)*
*NCCC(=O)*
*N(c3ccc(CCl)cc3)CC(=O)*
*N(C3CCCCC3)CC(=O)*
*N(c3ccc(C#C)cc3)CC(=O)*
*NC(CC2=CC3=C(C=CC=C3)N2)C(=O)*
*N(CCC(OC(C)(C)C)=O)CC(=O)*
*N(CCC(O)=O)CC(=O)*
*N(CCC1=CC=C(O)C=C1)CC(=O)*
*N(CCC1=CC=C(S(N)(=O)=O)C=C1)CC(=O)*
*N(CC(O)=O)CC(=O)*
*N(CCC1=CC=C(OC(OC(C)(C)C)=O)C=C1)CC(=O)*
*N(CCC1=CC=C(O)C=C1)CC(=O)*
*N(CCS)CC(=O)*
*N(CCO)CC(=O)*
*N(CCN)CC(=O)*
*N(CCCCCC)CC(=O)*
*N(CCCCO)CC(=O)*
*N(CCOC)CC(=O)*
*N(CCC1=CC=C(O)C(O)=C1)CC(=O)*
*N(CC1=CC=C(I)C=C1)CC(=O)*
*N(CCC1=CC(I)=C(O)C(I)=C1)CC(=O)*
*N(CCC1=C(I)C(I)=C(I)C(I)=C1I)CC(=O)*
*N(CC1=CC=C(F)C=C1)CC(=O)*
*N(CC1=CC=C(Cl)C=C1)CC(=O)*
*N(CC1=CC=C(Br)C=C1)CC(=O)*
*N(CCCN1C=NC=C1)CC(=O)*
*N(CCOC)CC(=O)*
*N(CCc1ccccc1)CC(=O)*
*N(Cc1ccccc1)CC(=O)*
*N(C(C(C)C))CC(=O)*
*N(CCC)CC(=O)*
*N(CCC(=O)O)CC(=O)*
