category,comment/name,DOI,units,temperature,cation1,cation1_conc,cation2,cation2_conc,cation3,cation3_conc,cation4,cation4_conc,anion1,anion1_conc,anion2,anion2_conc,anion3,anion3_conc,anion4,anion4_conc,solvent1,solvent1_ratio,solvent2,solvent2_ratio,solvent3,solvent3_ratio,solvent4,solvent4_ratio,solvent5,solvent5_ratio
,Nonaq1-hightemp,10.1002/ente.202000358,volume,350,Zn+2,0.5,,,,,,,CF3O3S-,1,,,,,,,C2H3N,1,,,,,,,,
,Nonaq2,10.1002/ente.202000358,volume,350,Zn+2,0.5,,,,,,,C2F6NO4S2-,1,,,,,,,C2H3N,1,,,,,,,,
,Nonaq2-hightemp,10.1002/ente.202000358,volume,350,Zn+2,0.5,,,,,,,C2F6NO4S2-,1,,,,,,,C2H3N,1,,,,,,,,
,Nonaq3,10.1002/adma.201900668,volume,300,Zn+2,0.5,,,,,,,CF3O3S-,1,,,,,,,C3H9O4P,1,C3H6O3,1,,,,,,
,Nonaq3-hightemp,10.1002/adma.201900668,volume,450,Zn+2,0.5,,,,,,,CF3O3S-,1,,,,,,,C3H9O4P,1,C3H6O3,1,,,,,,
,Nonaq4,10.1002/adma.201900668,volume,300,Zn+2,0.5,,,,,,,CF3O3S-,1,,,,,,,C2H6OS,1,,,,,,,,
,Nonaq4-hightemp,10.1002/adma.201900668,volume,450,Zn+2,0.5,,,,,,,CF3O3S-,1,,,,,,,C2H6OS,1,,,,,,,,
,IL4,10.1002/adma.201908121,number,300,Zn+2,2,C6H11N2+,6.5,,,,,BF4-,8.5,,,,,,,,,,,,,,,,
,IL4-hightemp,10.1002/adma.201908121,number,500,Zn+2,2,C6H11N2+,6.5,,,,,BF4-,8.5,,,,,,,,,,,,,,,,
,eutectic,10.1002/anie.202206717,volume,300,Zn+2,4.5,,,,,,,Cl-,9,,,,,,,C2H6O2,1,,,,,,,,
,Eutectic-hightemp,10.1002/anie.202206717,volume,450,Zn+2,4.5,,,,,,,Cl-,9,,,,,,,C2H6O2,1,,,,,,,,
K,Baselne1,10.1002/adfm.201602248,volume,300,K+,1,,,,,,,F6P-,1,,,,,,,C3H4O3,1,C4H6O3,1,,,,,,
,Baseline1-hightemp,10.1002/adfm.201602248,volume,500,K+,1,,,,,,,F6P-,1,,,,,,,C3H4O3,1,C4H6O3,1,,,,,,
,Nonflam1,10.1002/anie.201913174,volume,300,K+,0.9,,,,,,,F2NO4S2-,0.9,,,,,,,C6H15O4P,1,,,,,,,,
,Nonflam1-hightemp,10.1002/anie.201913174,volume,470,K+,0.9,,,,,,,F2NO4S2-,0.9,,,,,,,C6H15O4P,1,,,,,,,,
,Nonflam1-concentrated,10.1002/anie.201913174,volume,300,K+,2,,,,,,,F2NO4S2-,2,,,,,,,C6H15O4P,1,,,,,,,,
,Glyme1,10.1021/jacs.7b04945,volume,370,K+,1,,,,,,,F6P-,1,,,,,,,C4H10O2,1,,,,,,,,
,Glyme1-hightemp,10.1021/jacs.7b04945,volume,370,K+,1,,,,,,,F6P-,1,,,,,,,C4H10O2,1,,,,,,,,
,Glyme2,10.1021/jacs.7b04945,volume,370,K+,1,,,,,,,F2NO4S2-,1,,,,,,,C4H10O2,1,,,,,,,,
,Glyme2-hightemp,10.1021/jacs.7b04945,volume,370,K+,1,,,,,,,F2NO4S2-,1,,,,,,,C4H10O2,1,,,,,,,,
,Glyme3,10.1021/jacs.7b04945,volume,370,K+,1,,,,,,,C2F6NO4S2-,1,,,,,,,C4H10O2,1,,,,,,,,
,Glyme3-hightemp,10.1021/jacs.7b04945,volume,370,K+,1,,,,,,,C2F6NO4S2-,1,,,,,,,C4H10O2,1,,,,,,,,
,Concentrated1,10.1039/C8SC04350G,volume,300,K+,5,,,,,,,C2F6NO4S2-,5,,,,,,,C6H14O3,1,,,,,,,,
,Concentrated1-hightemp,10.1039/C8SC04350G,volume,400,K+,5,,,,,,,C2F6NO4S2-,5,,,,,,,C6H14O3,1,,,,,,,,
,FEC,10.1002/ange.201908542,volume,300,K+,1,,,,,,,F2NO4S2-,1,,,,,,,C3H4O3,19,C4H6O3,19,C3H3FO3,2,,,,
,FEC-hightemp,10.1002/ange.201908542,volume,500,K+,1,,,,,,,F2NO4S2-,1,,,,,,,C3H4O3,19,C4H6O3,19,C3H3FO3,2,,,,
,Bisalt1,10.1021/acsami.9b06156,volume,300,K+,0.8,,,,,,,F2NO4S2-,0.2,F6P-,0.6,,,,,C3H4O3,1,C3H6O3,1,,,,,,
,Bisalt1-hightemp,10.1021/acsami.9b06156,volume,370,K+,0.8,,,,,,,F2NO4S2-,0.2,F6P-,0.6,,,,,C3H4O3,1,C3H6O3,1,,,,,,
,Molten1,10.1016/j.jpowsour.2008.05.054,number,370,K+,1,Li+,2,Cs+,7,,,C2F6NO4S2-,10,,,,,,,,,,,,,,,,
,Molten1-hightemp,10.1016/j.jpowsour.2008.05.054,number,500,K+,1,Li+,2,Cs+,7,,,C2F6NO4S2-,10,,,,,,,,,,,,,,,,
,WISE1,10.1021/acsenergylett.8b00009,mass,300,K+,30,,,,,,,C2H3O2-,30,,,,,,,H2O,1,,,,,,,,
,WISE1-hightemp,10.1021/acsenergylett.8b00009,mass,370,K+,30,,,,,,,C2H3O2-,30,,,,,,,H2O,1,,,,,,,,
,WISE2,10.1038/s41560-019-0388-0,volume,300,K+,22,,,,,,,CF3O3S-,22,,,,,,,H2O,1,,,,,,,,
,WISE2-hightemp,10.1038/s41560-019-0388-0,volume,370,K+,22,,,,,,,CF3O3S-,22,,,,,,,H2O,1,,,,,,,,
,IL,10.1021/acs.jpcc.7b06523,number,300,K+,1,C8H18N+,5,,,,,F2NO4S2-,6,,,,,,,,,,,,,,,,
,IL-hightemp,10.1021/acs.jpcc.7b06523,number,500,K+,1,C8H18N+,5,,,,,F2NO4S2-,6,,,,,,,,,,,,,,,,
,Nonflam2,10.1002/adfm.202001934,number,300,K+,3,,,,,,,F2NO4S2-,3,,,,,,,C3H9O4P,8,,,,,,,,
,Nonflam2-hightemp,10.1002/adfm.202001934,number,450,K+,3,,,,,,,F2NO4S2-,3,,,,,,,C3H9O4P,8,,,,,,,,
,DTD,10.1002/adfm.202001934,volume,300,K+,1,,,,,,,F2NO4S2-,1,,,,,,,C3H9O4P,17,C2H4O4S,1,,,,,,
,DTD-hightemp,10.1002/adfm.202001934,volume,450,K+,1,,,,,,,F2NO4S2-,1,,,,,,,C3H9O4P,17,C2H4O4S,1,,,,,,
,Lowconc1,10.1039/C8CC04433C,volume,300,K+,0.1,,,,,,,ClO4-,0.1,,,,,,,C4H6O3,1,,,,,,,,
,Lowconc1-hightemp,10.1039/C8CC04433C,volume,450,K+,0.1,,,,,,,ClO4-,0.1,,,,,,,C4H6O3,1,,,,,,,,
,Lowconc2,10.1039/C8CC04433C,volume,300,K+,0.1,,,,,,,BF4-,0.1,,,,,,,C4H6O3,1,,,,,,,,
,Lowconc2-hightemp,10.1039/C8CC04433C,volume,450,K+,0.1,,,,,,,BF4-,0.1,,,,,,,C4H6O3,1,,,,,,,,
,Superconc,10.1016/j.elecom.2020.106764,number,300,K+,100,,,,,,,F2NO4S2-,55,CF3O3S-,45,,,,,H2O,90,,,,,,,,
,Superconc-hightemp,10.1016/j.elecom.2020.106764,number,370,K+,100,,,,,,,F2NO4S2-,55,CF3O3S-,45,,,,,H2O,90,,,,,,,,
,Aq1,10.1002/adma.201604007,volume,300,K+,1,,,,,,,O4S-2,0.5,,,,,,,H2O,1,,,,,,,,
,Aq1-hightemp,10.1002/adma.201604007,volume,350,K+,1,,,,,,,O4S-2,0.5,,,,,,,H2O,1,,,,,,,,
,Aq2,10.1021/acs.jpcb.5b01417,volume,300,K+,0.3,,,,,,,O4P-3,0.1,,,,,,,H2O,1,,,,,,,,
,Aq2-hightemp,10.1021/acs.jpcb.5b01417,volume,350,K+,0.3,,,,,,,O4P-3,0.1,,,,,,,H2O,1,,,,,,,,
,Aq3,10.1021/je800637t,volume,300,K+,0.5,,,,,,,NO3-,0.5,,,,,,,H2O,1,C3H8O,1,,,,,,
,Aq3-hightemp,10.1021/je800637t,volume,350,K+,0.5,,,,,,,NO3-,0.5,,,,,,,H2O,1,C3H8O,1,,,,,,
Al,IL,10.1038/nature14340,number,300,Al+3,1.1,C6H11N2+,1,,,,,Cl-,4.3,,,,,,,,,,,,,,,,
,IL-hightemp,10.1038/nature14340,number,500,Al+3,1.1,C6H11N2+,1,,,,,Cl-,4.3,,,,,,,,,,,,,,,,
,IL-analogue,10.1039/C6CC09825H,number,300,Al+3,1.1,,,,,,,Cl-,3.3,,,,,,,CH4N2O,1,,,,,,,,
,IL-analogue-hightemp,10.1039/C6CC09825H,number,550,Al+3,1.1,,,,,,,Cl-,3.3,,,,,,,CH4N2O,1,,,,,,,,
